Standard deviation,Mean,Peak-to-peak factor,RMS,Crest factor,Kurtosis,Skewness,Fault type,peak_frequency,peak_amplitude,rms_low_frequency,rms_mid_frequency,rms_high_frequency,rms_overall
0.08362352866047504,0.033607740909090904,0.524730909090909,0.09012421869088172,3.3693697719960483,0.01656438738798771,0.04506689625414227,B007,,,,,,
0.08757279364544937,0.03359695454545455,0.5549327272727272,0.09379631944590255,3.28783980596527,-0.10797039014083509,-0.09892749389800462,B007,,,,,,
0.08039785453692802,0.032644330303030294,0.42611272727272725,0.08677250322005457,2.6802793145743156,-0.34066083350446696,0.017470241954272703,B007,,,,,,
0.08507089126210539,0.032007249999999994,0.47644909090909093,0.0908929072738432,2.8435862151831217,-0.1762478019883953,-0.28939214365863153,B007,,,,,,
0.08788330179250056,0.03274517424242424,0.5643836363636363,0.09378550618362337,3.1721125568774755,0.06205211622754625,-0.16241364039916992,B007,,,,,,
0.09421261452270818,0.030049953030303028,0.5578090909090909,0.09888890945059423,3.008407954653545,-0.12497148358781551,-0.17907463141764426,B007,,,,,,
0.08953177176234,0.02962329242424242,0.5189781818181818,0.09430523638142223,2.8082312207965554,-0.14113057296333453,-0.19604965359478566,B007,,,,,,
0.0886949788116442,0.030813901515151513,0.5393181818181818,0.09389513189182637,2.886140527144152,0.047265094285140474,-0.18993055564912423,B007,,,,,,
0.08522545312100777,0.03002341515151515,0.5647945454545454,0.09035919055105199,3.642553455945604,0.1382406086060315,-0.0852621331309936,B007,,,,,,
0.10102374617444275,0.02713232727272727,0.6539618181818181,0.10460382628925491,3.407749496446985,-0.12010238952553776,0.10727774502921868,B007,,,,,,
0.08020621099528102,0.026238086363636365,0.45836909090909084,0.08438882306469961,2.93371465890592,-0.10779788827563186,0.0017642334298204972,B007,,,,,,
0.0844105098362486,0.02679007424242424,0.52658,0.088559822994008,3.2618526228156073,-0.1642580876379962,-0.016397941402834383,B007,,,,,,
0.08723859380491374,0.028591054545454544,0.5163072727272727,0.09180425180284348,3.412894018144782,-0.22350309123630918,0.1396598675031912,B007,,,,,,
0.08594126510649266,0.02880643939393939,0.5278127272727273,0.09064056486287558,3.14843981905995,-0.09161684797042158,-0.02460746686327901,B007,,,,,,
0.0960364811208706,0.027707771212121212,0.5742454545454545,0.09995362070291695,3.03186070113627,-0.18174423638489579,0.0441684255410346,B007,,,,,,
0.09488385892725348,0.02904699242424242,0.5888327272727272,0.09923041093244014,3.0932965814086324,0.10551939433485025,-0.037539743775935205,B007,,,,,,
0.08762466088951561,0.02881773939393939,0.5284290909090908,0.09224176548494513,3.2897935337750126,-0.12250110816126769,0.08665613500487561,B007,,,,,,
0.0938307343131844,0.027803307575757573,0.5267854545454544,0.09786332619476809,3.2267821730804664,-0.12902451528381764,0.11809278037278753,B007,,,,,,
0.08993709571175693,0.028891874242424242,0.5964345454545454,0.094463863896761,3.3429040834996377,0.010721085988240286,-0.04391203093027544,B007,,,,,,
0.08167077015698863,0.0312092303030303,0.4491236363636363,0.0874307197393642,2.702399430967391,-0.2932770378129912,-0.07441161772857763,B007,,,,,,
0.08655312220614289,0.031358869696969695,0.5304836363636364,0.0920587946494143,3.2226835552886652,0.014243192891694179,-0.0473287741234047,B007,,,,,,
0.08417391278033214,0.03058824393939394,0.45652000000000004,0.08955941190096567,3.000628741864794,-0.2635727982972189,0.17710909622255755,B007,,,,,,
0.07734606263253788,0.03127309242424242,0.40638909090909087,0.08342912989197286,2.657170880632473,-0.393680349187854,-0.06368951644418153,B007,,,,,,
0.08276002975303129,0.03206375,0.45097272727272725,0.08875419195049394,2.796364717595851,-0.3270177816241162,-0.09501632561300238,B007,,,,,,
0.0833378272512337,0.03241678939393939,0.45035636363636355,0.08942058871181452,2.954739498596441,-0.5139410428715463,-0.016758705842260933,B007,,,,,,
0.09149616251828004,0.030602283333333334,0.5734236363636364,0.09647822293546417,3.6713325099340692,0.10186797265693803,0.12000273056475143,B007,,,,,,
0.08240393892156012,0.03166876363636363,0.4544654545454545,0.0882797810375857,3.074378429075417,-0.2662259531134463,0.0068729115505268565,B007,,,,,,
