Kurtosis,Crest factor,Skewness,Standard deviation,RMS,Peak-to-peak factor,rms_mid_frequency,peak_frequency,rms_overall,rms_low_frequency,peak_amplitude,Encoded fault type,Fault type
0.01656438738798771,3.3693697719960483,0.04506689625414227,0.08362352866047504,0.09012421869088172,0.524730909090909,7.176904919392271e-05,27.0,5.6383164995910725e-05,0.00010261937316303698,0.0006999368572441037,0,B007
-0.10797039014083509,3.28783980596527,-0.09892749389800462,0.08757279364544937,0.09379631944590255,0.5549327272727272,8.335321470078199e-05,9.0,7.945144103097877e-05,0.00018067014253755317,0.001266859714140118,0,B007
-0.34066083350446696,2.6802793145743156,0.017470241954272703,0.08039785453692802,0.08677250322005457,0.42611272727272725,7.071993775198576e-05,104.0,5.654123822467498e-05,0.0001059613246040552,0.0007547343683074319,0,B007
-0.1762478019883953,2.8435862151831217,-0.28939214365863153,0.08507089126210539,0.0908929072738432,0.47644909090909093,9.234588693103708e-05,103.0,6.923496977136242e-05,0.00011470812076346936,0.0009376847552523828,0,B007
0.06205211622754625,3.1721125568774755,-0.16241364039916992,0.08788330179250056,0.09378550618362337,0.5643836363636363,6.630586661594845e-05,9.0,6.844191512580802e-05,0.0001641258039051503,0.0008244513143939176,0,B007
-0.12497148358781551,3.008407954653545,-0.17907463141764426,0.09421261452270818,0.09888890945059423,0.5578090909090909,8.197968911737667e-05,103.0,6.731341802453981e-05,0.0001314417683980661,0.0009509573826081149,0,B007
-0.14113057296333453,2.8082312207965554,-0.19604965359478566,0.08953177176234,0.09430523638142223,0.5189781818181818,6.944983363363466e-05,104.0,6.0033526094643706e-05,0.00012479446294232023,0.00073135715596281,0,B007
0.047265094285140474,2.886140527144152,-0.18993055564912423,0.0886949788116442,0.09389513189182637,0.5393181818181818,9.375850097343814e-05,103.0,8.112282907246361e-05,0.00016883073014389196,0.001113075790540434,0,B007
0.1382406086060315,3.642553455945604,-0.0852621331309936,0.08522545312100777,0.09035919055105199,0.5647945454545454,5.680120352142597e-05,27.0,4.9971124911676305e-05,0.00010584134749865127,0.0006290166788320362,0,B007
-0.12010238952553776,3.407749496446985,0.10727774502921868,0.10102374617444275,0.10460382628925491,0.6539618181818181,0.0001229150668815854,103.0,9.402028300772623e-05,0.000162751266763458,0.0012234613474048706,0,B007
-0.10779788827563186,2.93371465890592,0.0017642334298204972,0.08020621099528102,0.08438882306469961,0.45836909090909084,5.130730933927817e-05,104.0,4.6686705888781e-05,0.00010257597979015501,0.0005481487053163178,0,B007
-0.1642580876379962,3.2618526228156073,-0.016397941402834383,0.0844105098362486,0.088559822994008,0.52658,8.735140947874183e-05,103.0,6.237377113575122e-05,9.026230561747528e-05,0.00100611766752948,0,B007
-0.22350309123630918,3.412894018144782,0.1396598675031912,0.08723859380491374,0.09180425180284348,0.5163072727272727,7.838230929162977e-05,9.0,6.442896187888188e-05,0.00012582297815108616,0.000822994305006046,0,B007
-0.09161684797042158,3.14843981905995,-0.02460746686327901,0.08594126510649266,0.09064056486287558,0.5278127272727273,8.318594906557163e-05,104.0,6.275173080583139e-05,0.00010548160808786148,0.0008525835783954505,0,B007
-0.18174423638489579,3.03186070113627,0.0441684255410346,0.0960364811208706,0.09995362070291695,0.5742454545454545,8.844860728753695e-05,104.0,6.673811806427113e-05,0.0001124880504564094,0.000800997724993183,0,B007
0.10551939433485025,3.0932965814086324,-0.037539743775935205,0.09488385892725348,0.09923041093244014,0.5888327272727272,8.008977651572943e-05,27.0,7.32279126503577e-05,0.00016091609599597242,0.0008946128816018207,0,B007
-0.12250110816126769,3.2897935337750126,0.08665613500487561,0.08762466088951561,0.09224176548494513,0.5284290909090908,8.294725728190148e-05,103.0,6.343403145189376e-05,0.00010972526697519623,0.0008440230832391334,0,B007
-0.12902451528381764,3.2267821730804664,0.11809278037278753,0.0938307343131844,0.09786332619476809,0.5267854545454544,7.962991478833335e-05,9.0,7.148748728835457e-05,0.00015447846186583268,0.0010310435911710806,0,B007
0.010721085988240286,3.3429040834996377,-0.04391203093027544,0.08993709571175693,0.094463863896761,0.5964345454545454,8.04839447578985e-05,103.0,6.0368403705124325e-05,0.00010016238652368773,0.0008831286739679911,0,B007
-0.2932770378129912,2.702399430967391,-0.07441161772857763,0.08167077015698863,0.0874307197393642,0.4491236363636363,7.584219304636708e-05,104.0,5.832792621240256e-05,0.00010205180216007432,0.0005633611874828243,0,B007
0.014243192891694179,3.2226835552886652,-0.0473287741234047,0.08655312220614289,0.0920587946494143,0.5304836363636364,9.636195660059814e-05,103.0,7.14807794296733e-05,0.00011543950300007635,0.0011908115257611323,0,B007
-0.2635727982972189,3.000628741864794,0.17710909622255755,0.08417391278033214,0.08955941190096567,0.45652000000000004,5.435378050080813e-05,104.0,4.407821410893388e-05,8.443885508952472e-05,0.0005726773247737485,0,B007
-0.393680349187854,2.657170880632473,-0.06368951644418153,0.07734606263253788,0.08342912989197286,0.40638909090909087,6.434987022039438e-05,104.0,5.0014255597701484e-05,8.948394577074911e-05,0.0006378715278411212,0,B007
-0.3270177816241162,2.796364717595851,-0.09501632561300238,0.08276002975303129,0.08875419195049394,0.45097272727272725,6.605629104393652e-05,9.0,6.418312915986537e-05,0.0001483567734971037,0.0009564965006369571,0,B007
-0.5139410428715463,2.954739498596441,-0.016758705842260933,0.0833378272512337,0.08942058871181452,0.45035636363636355,0.00010495335626929516,103.0,6.790350153256413e-05,5.100672657226086e-05,0.0012792742951023362,0,B007
